result,name,class,ref_rg,sim_rg_mean,sim_rg_std,seq_charge,n_residues
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD-12F+12Y,a1_lcd_298_long,2.604,2.981761538286487,0.6327495458298461,8,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD+12D,a1_lcd_298_long,2.801,3.0647966414406773,0.6686710743363298,-4,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD-10R,a1_lcd_298_long,2.671,2.9219423660201675,0.6968344402741606,-2,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD+4D,a1_lcd_298_long,2.718,3.0254496395482318,0.6674505314594729,4,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD+7R,a1_lcd_298_long,2.709,3.0900229315445396,0.6582180847435403,15,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD+7F-7Y,a1_lcd_298_long,2.718,2.980531544038583,0.6921732867866739,8,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD-9F+6Y,a1_lcd_298_long,2.655,2.907941911893827,0.5827126400703795,8,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD+NLS,a1_lcd_298_long,2.583,2.9760633821899445,0.6652205225371878,8,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD-4D,a1_lcd_298_long,2.642,2.902862293804647,0.6222747112337464,12,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD-9F+3Y,a1_lcd_298_long,2.683,2.9638596464540656,0.6536757011635191,8,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD-10R+10K,a1_lcd_298_long,2.849,3.1554983223760527,0.672332569850553,8,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD+12E,a1_lcd_298_long,2.852,3.0924201185142093,0.6696502279997378,-4,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD+2R,a1_lcd_298_long,2.623,2.921406889670988,0.6433789548044367,10,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD-8F+4Y,a1_lcd_298_long,2.707,2.970853376602062,0.6233581081385198,8,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD-NLS,a1_lcd_298_long,2.76,2.991862874381839,0.6948443734058211,8,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD-6R+6K,a1_lcd_298_long,2.787,3.016097326286903,0.621476959105667,8,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD+7K+12D,a1_lcd_298_long,2.921,3.310869730194161,0.6860721733714159,3,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD-3R+3K,a1_lcd_298_long,2.634,3.0005336135437597,0.655183876384605,8,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD+8D,a1_lcd_298_long,2.685,2.933044883603245,0.6484375469190297,0,137
group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,A1-LCD-6R,a1_lcd_298_long,2.573,2.835729792884126,0.6520938301296397,2,137
