result,name,class,sim_rg_mean,sim_rg_std,n_residues
MOFF2-pc-MD,NTL9,folded_train_long,1.3653149433273257,0.007783077831737262,39
MOFF2-pc-MD,WW-domain,folded_train_long,1.4587660905032698,0.002032964987439656,35
MOFF2-pc-MD,Homeodomain,folded_train_long,1.5095987761453138,0.00118723146569355,52
MOFF2-pc-MD,1wla,folded_train_long,2.4223964121414108,0.01725443975162433,153
MOFF2-pc-MD,gpw,folded_train_long,1.6789270375600673,0.014635535334217686,62
MOFF2-pc-MD,Protein-B,folded_train_long,1.2457501867730774,0.0022512636658525986,47
MOFF2-pc-MD,engrailed,folded_train_long,1.5050003278876523,0.010283154891504442,56
MOFF2-pc-MD,Ubiquitin,folded_train_long,1.865308937926039,0.016851922320849533,76
MOFF2-pc-MD,lambda-repressor,folded_train_long,1.6143306841830225,0.0031536952617603475,80
MOFF2-pc-MD,5tvz,folded_train_long,2.2874924724345473,0.03726765016941069,103
MOFF2-pc-MD,Chignolin,folded_train_long,0.5798310900943797,0.00011149436074886498,10
MOFF2-pc-MD,Protein-G,folded_train_long,1.5908670981880972,0.014198864431487324,56
MOFF2-pc-MD,bba,folded_train_long,1.0636236072651621,0.0006535876440705302,28
MOFF2-pc-MD,1soy,folded_train_long,2.057692530417541,0.04717173932124852,106
MOFF2-pc-MD,Hen-Egg-White-Lysozyme,folded_train_long,1.953262431546874,0.018170445417646897,129
MOFF2-pc-MD,BPTI,folded_train_long,1.365264070609603,0.013376278724600232,58
MOFF2-pc-MD,Trp-cage,folded_train_long,0.8647697478719459,0.0003020855729339855,20
MOFF2-pc-MD,bbl,folded_train_long,1.4161656963075702,0.006904028685072117,47
MOFF2-pc-MD,calmodulin,folded_train_long,3.201195417561071,0.045882946883322395,147
MOFF2-pc-MD,GB3,folded_train_long,1.4417627614749298,0.008567070743871197,56
MOFF2-pc-MD,alpha3d,folded_train_long,1.5760440726297016,0.009260375597266224,73
MOFF2-pc-MD,Villin,folded_train_long,1.149680845652142,0.0021798820861664847,35
MOFF2-pc-MD,2ea9,folded_train_long,1.8077616652193402,0.004807942139460786,103
