result,name,class,ref_rg,sim_rg_mean,sim_rg_std,n_residues
MOFF2,AF-P06132-F1-model_v4,folded_test,1.969144946880961,2.2667924799708365,0.00847790007365079,367
MOFF2,AF-Q9HAC7-F1-model_v4,folded_test,2.6933283231802863,2.8122442259727025,0.010438565660072063,445
MOFF2,AF-A6NKH3-F1-model_v4,folded_test,1.7895127549023506,2.3104140066233265,0.001493171758685019,93
MOFF2,AF-Q15165-F1-model_v4,folded_test,2.0118613923049624,2.2294452487351353,0.005769024687136914,354
MOFF2,AF-P63167-F1-model_v4,folded_test,1.1792462398154124,1.555759662872516,0.0019878795302361585,89
MOFF2,AF-O00244-F1-model_v4,folded_test,1.043435498028315,1.7397556015508822,0.01805978823385057,68
MOFF2,AF-P0DTE8-F1-model_v4,folded_test,2.362560649232239,2.494715607447059,0.0070523891869189725,511
MOFF2,AF-Q9UDW1-F1-model_v4,folded_test,2.1083529313251748,1.757267301582307,0.013553079738276907,63
MOFF2,AF-P0CG30-F1-model_v4,folded_test,1.769961889019514,1.8957938233155045,0.007294590616073182,244
MOFF2,AF-Q17R31-F1-model_v4,folded_test,1.7205871095006393,2.091895015889036,0.021006798994841924,274
MOFF2,AF-P06865-F1-model_v4,folded_test,2.570018531995524,2.478508151512816,0.013884063509100653,529
MOFF2,AF-O15239-F1-model_v4,folded_test,2.010672526634043,1.6311812702160495,0.020397229559627972,70
MOFF2,AF-O95777-F1-model_v4,folded_test,1.3414398539256684,1.6464469953945562,0.0067886116621129755,96
MOFF2,AF-O15335-F1-model_v4,folded_test,2.9431877322181372,2.3272323457329365,0.011200093301981129,359
MOFF2,AF-Q16773-F1-model_v4,folded_test,2.1520507166475116,2.3242776269142382,0.00182115987175413,422
MOFF2,AF-P50225-F1-model_v4,folded_test,1.8470317150036941,2.2915394736554124,0.01353564535738494,295
MOFF2,AF-P09417-F1-model_v4,folded_test,1.7102744383383428,1.994758200755835,0.007195395420982464,244
MOFF2,AF-Q96FJ2-F1-model_v4,folded_test,1.1799714874718694,1.5659143879437942,0.024614101227115825,89
MOFF2,AF-P25786-F1-model_v4,folded_test,2.2723072783577694,2.3415997689570163,0.0059860964949018935,263
MOFF2,AF-A8MT69-F1-model_v4,folded_test,1.659253692761626,1.4626808014157777,0.0006110547308235681,81
MOFF2,AF-A6NEY8-F1-model_v4,folded_test,1.495279672103866,1.8527125085742024,0.01599740237267866,169
MOFF2,AF-P05413-F1-model_v4,folded_test,1.4008124562400106,1.7478401258823746,0.018746105798209012,133
MOFF2,AF-Q96S19-F1-model_v4,folded_test,1.5804443036881983,1.8574784559480908,0.010592451061805619,204
MOFF2,AF-Q9UJ72-F1-model_v4,folded_test,2.1040630107619536,2.0988889774915793,0.0022947972190208166,324
MOFF2,AF-O15121-F1-model_v4,folded_test,1.9580125677258469,2.0141126815335917,0.001592373781023948,323
MOFF2,AF-Q15819-F1-model_v4,folded_test,1.5878940660709844,2.1434113679880515,0.07327629734083896,145
MOFF2,AF-P16233-F1-model_v4,folded_test,2.6668645482900515,2.4658653636782466,0.008133853002850744,465
MOFF2,AF-A0A1W2PQJ5-F1-model_v4,folded_test,1.687945444359891,1.765617228216782,0.013075492046589421,194
MOFF2,AF-O43504-F1-model_v4,folded_test,1.2794400504307701,1.6677774279061455,0.007472239737694397,91
MOFF2,AF-Q99518-F1-model_v4,folded_test,2.500506517088747,2.486440046700703,0.0011062973670372678,535
MOFF2,AF-P07108-F1-model_v4,folded_test,1.297257633470656,2.047626417123802,0.04319249257915203,87
MOFF2,AF-Q8IUS5-F1-model_v4,folded_test,2.085299927685723,2.084404572643537,0.0031859297870449055,362
MOFF2,AF-Q14728-F1-model_v4,folded_test,2.336974575154955,2.1768900546601997,0.005538454439459883,455
MOFF2,AF-P17174-F1-model_v4,folded_test,2.2028596537966205,2.3892345065049403,0.0067387529659190815,413
MOFF2,AF-P11177-F1-model_v4,folded_test,2.5621539891413962,2.281343000381865,0.00841606792346794,359
MOFF2,AF-P62072-F1-model_v4,folded_test,2.1396118909217026,2.1955737418567467,0.05114545319424302,90
MOFF2,AF-Q8N4Q0-F1-model_v4,folded_test,2.2278694482852344,2.3031056174388147,0.006317431161323439,377
MOFF2,AF-Q8N6V4-F1-model_v4,folded_test,1.2291934544858145,1.465510083842456,0.00016257828272348007,93
MOFF2,AF-P62945-F1-model_v4,folded_test,1.116546212186184,1.13829992783615,0.00010878144104775611,25
MOFF2,AF-A0A075B759-F1-model_v4,folded_test,1.399716763190471,1.9359651261234736,0.010184158612839944,164
MOFF2,AF-Q9UIJ7-F1-model_v4,folded_test,1.828850800709156,2.1752083302087244,0.019980083406917704,227
MOFF2,AF-Q9Y547-F1-model_v4,folded_test,1.4194116933724084,1.8212016976476628,0.004357108669901244,144
MOFF2,AF-P62266-F1-model_v4,folded_test,2.170539659280621,2.5329069139416154,0.043674238655608155,143
MOFF2,AF-Q156A1-F1-model_v4,folded_test,3.5125920665445354,3.0974741247758835,0.03340898876743026,80
MOFF2,AF-Q9NXJ5-F1-model_v4,folded_test,1.6546734794961149,2.0988659948281128,0.07163286841863137,209
MOFF2,AF-Q96SL4-F1-model_v4,folded_test,2.1289175715526985,1.7635867126557743,0.019083263506041725,187
MOFF2,AF-Q9Y587-F1-model_v4,folded_test,1.5125201774251595,1.5421142484950257,0.004127774197482892,144
MOFF2,AF-Q8N6N7-F1-model_v4,folded_test,1.3055827252523053,1.8427260229216285,0.0031502879959734997,88
MOFF2,AF-P0DTE4-F1-model_v4,folded_test,2.8731106660876695,2.4279119197097856,0.001070839553260594,527
MOFF2,AF-P43235-F1-model_v4,folded_test,2.2120058612692977,2.511371233290591,0.008063406306878518,329
MOFF2,AF-O95168-F1-model_v4,folded_test,2.9997757370736067,1.9840546493633382,0.0006664214358832465,129
MOFF2,AF-O95167-F1-model_v4,folded_test,2.480776665280705,1.9414103609578894,0.0057708114625615314,84
MOFF2,AF-Q6NVY1-F1-model_v4,folded_test,2.31298673820542,2.459167697382493,0.04288256781420863,386
MOFF2,AF-P14621-F1-model_v4,folded_test,1.2928958571234255,2.341935488714774,0.0725750471345723,99
MOFF2,AF-Q15370-F1-model_v4,folded_test,2.255010297142312,1.9911165639579358,0.04561985684213676,118
